Pb 	 TxGC Skewed 
1 	 -0.17119764878765614 
20001 	 -0.18747850017199863 
40001 	 -0.21391174270755423 
60001 	 -0.15256688358640635 
80001 	 -0.1689996585865483 
100001 	 -0.23414634146341465 
120001 	 -0.33424376920450666 
140001 	 -0.2131367292225201 
160001 	 -0.22218030931723878 
180001 	 -0.12871287128712872 
200001 	 -0.07453196750264925 
220001 	 -0.13851351351351351 
240001 	 -0.07494222515681744 
260001 	 -0.15447154471544716 
280001 	 -0.24900924702774108 
300001 	 -0.27060986821942995 
320001 	 -0.18258859784283513 
340001 	 -0.06740116655865197 
360001 	 -0.18341307814992025 
380001 	 -0.14420803782505912 
400001 	 -0.25478287276040085 
420001 	 -0.09214285714285714 
440001 	 -0.22953846153846155 
460001 	 0.17298990602158024 
480001 	 0.2601073345259392 
500001 	 0.33206349206349206 
520001 	 0.20082530949105915 
540001 	 0.1429584959205392 
560001 	 0.1834862385321101 
580001 	 0.21120689655172414 
600001 	 0.14448398576512456 
620001 	 0.1487912836227443 
640001 	 0.1328044153156261 
660001 	 0.05211106884747052 
680001 	 0.13087248322147652 
700001 	 0.2223826714801444 
720001 	 0.23067010309278352 
740001 	 0.27521613832853026 
760001 	 0.1457975986277873 
780001 	 0.21408250355618777 
800001 	 0.03720238095238095 
820001 	 0.27335880514067384 
840001 	 0.2740983606557377 
860001 	 0.19328358208955224 
880001 	 0.03349616189811584 
900001 	 0.1754979331078542 
